model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
Linear,8,r2,prediction,-9.67556432718405,-9.761058183041902,-44.32095488713958,-10.392009349102956,-13.875356355242262,-17.604988620342148,f2a9d7a9
RF5,8,r2,prediction,-3.3933333333333326,-0.050289017341039965,-4.021874999999999,-4.221982679588083,-4.008259766611365,-3.139147959374764,f2a9d7a9
RF10,8,r2,prediction,-1.438333333333333,-1.9119942196531796,-6.221093749999998,-3.10124274508176,-4.075781744552238,-3.3496891585241015,f2a9d7a9
SVR-rbf,8,r2,prediction,-0.2084843799668692,-0.026024799882157224,-0.5618678922455167,-1.036029994003563,-0.6527261615317168,-0.49702664552596454,f2a9d7a9
XGB10,8,r2,prediction,-1.317080090680181,0.16052881479400427,-5.311939500370133,-1.759954804514047,-1.4078978516142526,-1.9272686864769217,f2a9d7a9
XGB15,8,r2,prediction,-1.8464167614822493,0.08724058153336967,-7.817988554487988,-2.1768444775960814,-2.1581274705580964,-2.7824273365182086,f2a9d7a9
GPR,8,r2,prediction,0.2620524095246892,0.03740425307136741,-0.546128790251514,-3.1091668918620634,-0.049187292105350444,-0.6810052623245741,f2a9d7a9
Linear,9,r2,prediction,-2.9506978172407923,-2.7836118910480754,-1.8707744458228444,-0.7794294276030875,-0.9974824934208331,-1.8763992150271265,f2a9d7a9
RF5,9,r2,prediction,-0.4301886792452829,-0.8839364518976169,-0.21728896103896123,0.40025676636913365,0.12168814183445431,-0.20189383679565465,f2a9d7a9
RF10,9,r2,prediction,0.3433962264150944,-0.5430052956751983,-0.0019886363636363313,0.409974236265362,0.3701802096898049,0.11571134806628533,f2a9d7a9
SVR-rbf,9,r2,prediction,-0.46220085418030066,-0.6041148921577193,-0.46913111059374457,-0.45258780421007416,-0.3773310637212999,-0.4730731449726277,f2a9d7a9
XGB10,9,r2,prediction,-1.6842991400314857,-1.4842093529925156,-0.77463020910126,-0.013587265478167465,-0.3634995903399558,-0.8640451115886769,f2a9d7a9
XGB15,9,r2,prediction,-2.4927079111940924,-2.0042648649304025,-0.9225367882159301,0.05862821827345732,-0.38480690929175987,-1.1491376510717455,f2a9d7a9
