model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
CNNRNN16,12,r2,prediction,0.044971882762589344,0.13946575901865954,-0.012781167376952673,0.3208976224941793,0.1404987782552961,0.12661057503075432,b33fc639
MLP16,12,r2,prediction,0.1259463649582585,0.1631300754086883,0.1700641521311631,0.2491322165040264,0.20099311418360244,0.18185318463714775,b33fc639
RNN16,1,mape,prediction,2.2976174623020293,0.7024757200256557,0.7322383796860921,6.022448564314912,2.0823537818198394,2.367426781629706,b33fc639
LSTM16,1,mape,prediction,1.2629471422848895,1.1274350153546853,1.0003437083983515,2.4395102200653067,1.2795842004769258,1.4219640573160317,b33fc639
CNNRNN16,1,mape,prediction,1.404636225397886,0.8055081780160751,0.7204439988403644,6.193280473281445,0.7391986851498823,1.9726135121371304,b33fc639
MLP16,1,mape,prediction,1.4508052874693333,1.5702916828100686,1.1155274759619986,4.007563906586425,1.511193226146557,1.9310763157948763,b33fc639
RNN16,2,mape,prediction,0.9300694209320015,1.6771325794634335,0.8720773175716173,0.5415758747966926,0.7421603394992307,0.952603106452595,b33fc639
LSTM16,2,mape,prediction,0.7805686084827643,0.9159713969727988,0.4304098899823575,0.4676408491395163,0.5015963539265971,0.6192374197008068,b33fc639
CNNRNN16,2,mape,prediction,0.8347506458757291,1.3661324785208087,0.5762236752529452,0.644400881179404,0.6893175849890019,0.8221650531635778,b33fc639
MLP16,2,mape,prediction,0.5937610235133951,0.4195968882759599,0.5509109938628172,0.423924364442672,0.49808472648490776,0.49725559931595037,b33fc639
RNN16,3,mape,prediction,1.820212441724341,1.2779665991363274,1.291402925725103,10.841227238487866,2.923484491167403,3.6308587392482083,b33fc639
LSTM16,3,mape,prediction,2.554419323797246,1.9920601936324704,2.809694293273419,11.281350817473257,3.3758220657484457,4.402669338784968,b33fc639
CNNRNN16,3,mape,prediction,2.2718998587108152,1.4870747843892453,2.235670266650719,7.076764059244036,2.0270694727438903,3.019695688347741,b33fc639
MLP16,3,mape,prediction,2.271876977179034,2.5137585440849426,2.614508912085655,12.012829014176713,3.6456573457499895,4.611726158655267,b33fc639
RNN16,4,mape,prediction,2.5101352234831764,3.6122017039861616,1.0038127771928718,2.6795539024380908,0.6088509468441055,2.0829109107888812,b33fc639
