id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
f2229bf6,predictor_f2229bf6_10.parquet,0,20,,1,2monthly,10,ps,,False
f2229bf6,predictor_f2229bf6_11.parquet,0,20,,1,2monthly,11,ps,,False
f2229bf6,predictor_f2229bf6_12.parquet,0,20,,1,2monthly,12,ps,,False
864384ff,predictor_864384ff_1.parquet,0,30,,1,2monthly,1,ps,,False
864384ff,predictor_864384ff_2.parquet,0,30,,1,2monthly,2,ps,,False
864384ff,predictor_864384ff_3.parquet,0,30,,1,2monthly,3,ps,,False
864384ff,predictor_864384ff_4.parquet,0,30,,1,2monthly,4,ps,,False
864384ff,predictor_864384ff_5.parquet,0,30,,1,2monthly,5,ps,,False
864384ff,predictor_864384ff_6.parquet,0,30,,1,2monthly,6,ps,,False
864384ff,predictor_864384ff_7.parquet,0,30,,1,2monthly,7,ps,,False
864384ff,predictor_864384ff_8.parquet,0,30,,1,2monthly,8,ps,,False
864384ff,predictor_864384ff_9.parquet,0,30,,1,2monthly,9,ps,,False
864384ff,predictor_864384ff_10.parquet,0,30,,1,2monthly,10,ps,,False
864384ff,predictor_864384ff_11.parquet,0,30,,1,2monthly,11,ps,,False
864384ff,predictor_864384ff_12.parquet,0,30,,1,2monthly,12,ps,,False
5d3808e7,predictor_5d3808e7_1.parquet,0,5,0.05,1,2monthly,1,ps,,False
5d3808e7,predictor_5d3808e7_2.parquet,0,5,0.05,1,2monthly,2,ps,,False
5d3808e7,predictor_5d3808e7_3.parquet,0,5,0.05,1,2monthly,3,ps,,False
5d3808e7,predictor_5d3808e7_4.parquet,0,5,0.05,1,2monthly,4,ps,,False
5d3808e7,predictor_5d3808e7_5.parquet,0,5,0.05,1,2monthly,5,ps,,False
5d3808e7,predictor_5d3808e7_6.parquet,0,5,0.05,1,2monthly,6,ps,,False
5d3808e7,predictor_5d3808e7_7.parquet,0,5,0.05,1,2monthly,7,ps,,False
5d3808e7,predictor_5d3808e7_8.parquet,0,5,0.05,1,2monthly,8,ps,,False
5d3808e7,predictor_5d3808e7_9.parquet,0,5,0.05,1,2monthly,9,ps,,False
5d3808e7,predictor_5d3808e7_10.parquet,0,5,0.05,1,2monthly,10,ps,,False
5d3808e7,predictor_5d3808e7_11.parquet,0,5,0.05,1,2monthly,11,ps,,False
5d3808e7,predictor_5d3808e7_12.parquet,0,5,0.05,1,2monthly,12,ps,,False
1bd170ed,predictor_1bd170ed_1.parquet,0,10,0.05,1,2monthly,1,ps,,False
1bd170ed,predictor_1bd170ed_2.parquet,0,10,0.05,1,2monthly,2,ps,,False
1bd170ed,predictor_1bd170ed_3.parquet,0,10,0.05,1,2monthly,3,ps,,False
1bd170ed,predictor_1bd170ed_4.parquet,0,10,0.05,1,2monthly,4,ps,,False
1bd170ed,predictor_1bd170ed_5.parquet,0,10,0.05,1,2monthly,5,ps,,False
1bd170ed,predictor_1bd170ed_6.parquet,0,10,0.05,1,2monthly,6,ps,,False
1bd170ed,predictor_1bd170ed_7.parquet,0,10,0.05,1,2monthly,7,ps,,False
1bd170ed,predictor_1bd170ed_8.parquet,0,10,0.05,1,2monthly,8,ps,,False
1bd170ed,predictor_1bd170ed_9.parquet,0,10,0.05,1,2monthly,9,ps,,False
1bd170ed,predictor_1bd170ed_10.parquet,0,10,0.05,1,2monthly,10,ps,,False
1bd170ed,predictor_1bd170ed_11.parquet,0,10,0.05,1,2monthly,11,ps,,False
1bd170ed,predictor_1bd170ed_12.parquet,0,10,0.05,1,2monthly,12,ps,,False
b649f2d0,predictor_b649f2d0_1.parquet,0,15,0.05,1,2monthly,1,ps,,False
b649f2d0,predictor_b649f2d0_2.parquet,0,15,0.05,1,2monthly,2,ps,,False
b649f2d0,predictor_b649f2d0_3.parquet,0,15,0.05,1,2monthly,3,ps,,False
b649f2d0,predictor_b649f2d0_4.parquet,0,15,0.05,1,2monthly,4,ps,,False
b649f2d0,predictor_b649f2d0_5.parquet,0,15,0.05,1,2monthly,5,ps,,False
b649f2d0,predictor_b649f2d0_6.parquet,0,15,0.05,1,2monthly,6,ps,,False
b649f2d0,predictor_b649f2d0_7.parquet,0,15,0.05,1,2monthly,7,ps,,False
b649f2d0,predictor_b649f2d0_8.parquet,0,15,0.05,1,2monthly,8,ps,,False
b649f2d0,predictor_b649f2d0_9.parquet,0,15,0.05,1,2monthly,9,ps,,False
b649f2d0,predictor_b649f2d0_10.parquet,0,15,0.05,1,2monthly,10,ps,,False
b649f2d0,predictor_b649f2d0_11.parquet,0,15,0.05,1,2monthly,11,ps,,False
b649f2d0,predictor_b649f2d0_12.parquet,0,15,0.05,1,2monthly,12,ps,,False
973780e5,predictor_973780e5_1.parquet,0,20,0.05,1,2monthly,1,ps,,False
973780e5,predictor_973780e5_2.parquet,0,20,0.05,1,2monthly,2,ps,,False
973780e5,predictor_973780e5_3.parquet,0,20,0.05,1,2monthly,3,ps,,False
