model,season,metric,stage,HWN,HWF,Average,id_data
SVR-linear,9,r2,prediction,-1.5254877020335287,-1.4371820124440702,-1.4813348572387994,978f49d7
XGB10,9,r2,prediction,-1.8658819607183754,-1.1457006787750221,-1.5057913197466988,978f49d7
RNN16,9,r2,prediction,-1.0045672466419973,-1.4326697345242554,-1.2186184905831263,978f49d7
LSTM16,9,r2,prediction,-0.5239323153551632,-0.8770406387764624,-0.7004864770658128,978f49d7
CNNRNN16,9,r2,prediction,-0.6286013602865299,-0.7641750528400852,-0.6963882065633076,978f49d7
CNNLSTM16,9,r2,prediction,-1.0812389083141096,-1.2251831047700397,-1.1532110065420746,978f49d7
MLP16,9,r2,prediction,-0.3979672466571067,-0.510479567535602,-0.45422340709635434,978f49d7
Linear,10,r2,prediction,-0.7146040837411309,-1.3409284137901816,-1.0277662487656563,978f49d7
RF10,10,r2,prediction,-1.1232142857142855,-1.1133995037220843,-1.118306894718185,978f49d7
SVR-rbf,10,r2,prediction,-0.28814617165262013,-0.3448988792656005,-0.3165225254591103,978f49d7
SVR-linear,10,r2,prediction,-0.6093339303907888,-0.46602191560727335,-0.537677922999031,978f49d7
XGB10,10,r2,prediction,0.2788540997455685,-1.4185518806433635,-0.5698488904488974,978f49d7
RNN16,10,r2,prediction,-0.13050905074243002,-0.3533839682507449,-0.24194650949658747,978f49d7
LSTM16,10,r2,prediction,-1.1971124709261285,-1.64475276483565,-1.4209326178808892,978f49d7
CNNRNN16,10,r2,prediction,-0.21515734963752098,-0.33079672721830455,-0.27297703842791277,978f49d7
CNNLSTM16,10,r2,prediction,-1.6674081805953915,-2.1281936247286657,-1.8978009026620286,978f49d7
MLP16,10,r2,prediction,-0.38412975640821245,-0.4420387334077005,-0.4130842449079565,978f49d7
Linear,11,r2,prediction,-0.6444855143975918,-0.585770786570657,-0.6151281504841244,978f49d7
RF10,11,r2,prediction,-0.7912162162162164,-0.6350614754098365,-0.7131388458130264,978f49d7
SVR-rbf,11,r2,prediction,-1.1077681145985125,-1.0122446449347526,-1.0600063797666326,978f49d7
SVR-linear,11,r2,prediction,-0.9219571895243557,-0.8366761729182168,-0.8793166812212863,978f49d7
XGB10,11,r2,prediction,-0.6357869138766279,-0.9552377031542831,-0.7955123085154555,978f49d7
RNN16,11,r2,prediction,-0.7936976693901352,-0.9431137961312253,-0.8684057327606802,978f49d7
LSTM16,11,r2,prediction,-0.8857209256973118,-0.8305388797121818,-0.8581299027047468,978f49d7
CNNRNN16,11,r2,prediction,-0.8671193319160404,-0.7719113431587203,-0.8195153375373804,978f49d7
CNNLSTM16,11,r2,prediction,-0.5815137748207162,-0.4451947470236526,-0.5133542609221844,978f49d7
MLP16,11,r2,prediction,-0.9472801122776229,-0.7417233011480626,-0.8445017067128427,978f49d7
Linear,12,r2,prediction,0.32994692436246653,0.3936756118168393,0.3618112680896529,978f49d7
RF10,12,r2,prediction,-0.2183566433566433,-0.014175546831183494,-0.11626609509391339,978f49d7
SVR-rbf,12,r2,prediction,-0.21682366358761707,-0.15642451471032692,-0.186624089148972,978f49d7
SVR-linear,12,r2,prediction,-0.1805745985196665,-0.17580218439990025,-0.17818839145978338,978f49d7
XGB10,12,r2,prediction,-0.3632071494472715,-0.15595988370291902,-0.25958351657509526,978f49d7
RNN16,12,r2,prediction,-0.5086396403939293,-0.3698584811785852,-0.43924906078625725,978f49d7
LSTM16,12,r2,prediction,0.35929651954094755,0.5149467773154079,0.43712164842817774,978f49d7
CNNRNN16,12,r2,prediction,-0.9587298290436672,-0.9326465210462507,-0.945688175044959,978f49d7
CNNLSTM16,12,r2,prediction,-1.2321604493937302,-1.1587375382785088,-1.1954489938361195,978f49d7
MLP16,12,r2,prediction,0.5559629314066217,0.6526921989113728,0.6043275651589972,978f49d7
Linear,1,mape,prediction,2.835190581995156,2.437202502234581,2.6361965421148685,978f49d7
RF10,1,mape,prediction,2.2523469698957603,1.714264564559602,1.983305767227681,978f49d7
