id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
d72bf2c8,predictor_d72bf2c8_2.parquet,0,5,0.1,1,2monthly,2,ps,None,True
d72bf2c8,predictor_d72bf2c8_3.parquet,0,5,0.1,1,2monthly,3,ps,None,True
d72bf2c8,predictor_d72bf2c8_4.parquet,0,5,0.1,1,2monthly,4,ps,None,True
d72bf2c8,predictor_d72bf2c8_5.parquet,0,5,0.1,1,2monthly,5,ps,None,True
d72bf2c8,predictor_d72bf2c8_6.parquet,0,5,0.1,1,2monthly,6,ps,None,True
d72bf2c8,predictor_d72bf2c8_7.parquet,0,5,0.1,1,2monthly,7,ps,None,True
d72bf2c8,predictor_d72bf2c8_8.parquet,0,5,0.1,1,2monthly,8,ps,None,True
d72bf2c8,predictor_d72bf2c8_9.parquet,0,5,0.1,1,2monthly,9,ps,None,True
d72bf2c8,predictor_d72bf2c8_10.parquet,0,5,0.1,1,2monthly,10,ps,None,True
d72bf2c8,predictor_d72bf2c8_11.parquet,0,5,0.1,1,2monthly,11,ps,None,True
d72bf2c8,predictor_d72bf2c8_12.parquet,0,5,0.1,1,2monthly,12,ps,None,True
17c74f46,predictor_17c74f46_1.parquet,0,10,0.1,1,2monthly,1,ps,None,True
17c74f46,predictor_17c74f46_2.parquet,0,10,0.1,1,2monthly,2,ps,None,True
17c74f46,predictor_17c74f46_3.parquet,0,10,0.1,1,2monthly,3,ps,None,True
17c74f46,predictor_17c74f46_4.parquet,0,10,0.1,1,2monthly,4,ps,None,True
17c74f46,predictor_17c74f46_5.parquet,0,10,0.1,1,2monthly,5,ps,None,True
17c74f46,predictor_17c74f46_6.parquet,0,10,0.1,1,2monthly,6,ps,None,True
17c74f46,predictor_17c74f46_7.parquet,0,10,0.1,1,2monthly,7,ps,None,True
17c74f46,predictor_17c74f46_8.parquet,0,10,0.1,1,2monthly,8,ps,None,True
17c74f46,predictor_17c74f46_9.parquet,0,10,0.1,1,2monthly,9,ps,None,True
17c74f46,predictor_17c74f46_10.parquet,0,10,0.1,1,2monthly,10,ps,None,True
17c74f46,predictor_17c74f46_11.parquet,0,10,0.1,1,2monthly,11,ps,None,True
17c74f46,predictor_17c74f46_12.parquet,0,10,0.1,1,2monthly,12,ps,None,True
4e8ef728,predictor_4e8ef728_1.parquet,0,15,0.1,1,2monthly,1,ps,None,True
4e8ef728,predictor_4e8ef728_2.parquet,0,15,0.1,1,2monthly,2,ps,None,True
4e8ef728,predictor_4e8ef728_3.parquet,0,15,0.1,1,2monthly,3,ps,None,True
4e8ef728,predictor_4e8ef728_4.parquet,0,15,0.1,1,2monthly,4,ps,None,True
4e8ef728,predictor_4e8ef728_5.parquet,0,15,0.1,1,2monthly,5,ps,None,True
4e8ef728,predictor_4e8ef728_6.parquet,0,15,0.1,1,2monthly,6,ps,None,True
4e8ef728,predictor_4e8ef728_7.parquet,0,15,0.1,1,2monthly,7,ps,None,True
4e8ef728,predictor_4e8ef728_8.parquet,0,15,0.1,1,2monthly,8,ps,None,True
4e8ef728,predictor_4e8ef728_9.parquet,0,15,0.1,1,2monthly,9,ps,None,True
4e8ef728,predictor_4e8ef728_10.parquet,0,15,0.1,1,2monthly,10,ps,None,True
4e8ef728,predictor_4e8ef728_11.parquet,0,15,0.1,1,2monthly,11,ps,None,True
4e8ef728,predictor_4e8ef728_12.parquet,0,15,0.1,1,2monthly,12,ps,None,True
9996b7f9,predictor_9996b7f9_1.parquet,0,20,0.1,1,2monthly,1,ps,None,True
9996b7f9,predictor_9996b7f9_2.parquet,0,20,0.1,1,2monthly,2,ps,None,True
9996b7f9,predictor_9996b7f9_3.parquet,0,20,0.1,1,2monthly,3,ps,None,True
9996b7f9,predictor_9996b7f9_4.parquet,0,20,0.1,1,2monthly,4,ps,None,True
9996b7f9,predictor_9996b7f9_5.parquet,0,20,0.1,1,2monthly,5,ps,None,True
9996b7f9,predictor_9996b7f9_6.parquet,0,20,0.1,1,2monthly,6,ps,None,True
9996b7f9,predictor_9996b7f9_7.parquet,0,20,0.1,1,2monthly,7,ps,None,True
9996b7f9,predictor_9996b7f9_8.parquet,0,20,0.1,1,2monthly,8,ps,None,True
9996b7f9,predictor_9996b7f9_9.parquet,0,20,0.1,1,2monthly,9,ps,None,True
9996b7f9,predictor_9996b7f9_10.parquet,0,20,0.1,1,2monthly,10,ps,None,True
9996b7f9,predictor_9996b7f9_11.parquet,0,20,0.1,1,2monthly,11,ps,None,True
9996b7f9,predictor_9996b7f9_12.parquet,0,20,0.1,1,2monthly,12,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_1.parquet,0,30,0.1,1,2monthly,1,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_2.parquet,0,30,0.1,1,2monthly,2,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_3.parquet,0,30,0.1,1,2monthly,3,ps,None,True
6b0b2aaf,predictor_6b0b2aaf_4.parquet,0,30,0.1,1,2monthly,4,ps,None,True
