model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
SVR-rbf,11,r2,prediction,-0.459470224657087,-0.45947022465708676,-0.549538583941227,-0.46115828059613184,-0.440767708351659,-0.47408100444063833,41e7367e
SVR-linear,11,r2,prediction,-0.5736038458980319,-0.5736038458980333,-0.6580897028782693,-0.5344742882838731,-0.5222843953232088,-0.5724112156562833,41e7367e
XGB10,11,r2,prediction,-0.5165224454050841,-0.5165224454050839,-0.6103354858079804,-0.5182729962390475,-0.5010991059632866,-0.5325504957640965,41e7367e
RNN16,11,r2,prediction,-0.5651186819281255,-0.5615666342592394,-0.667981777044586,-0.560462090281503,-0.5516384211082193,-0.5813535209243346,41e7367e
LSTM16,11,r2,prediction,-0.5665725706586184,-0.5695663782097904,-0.6749232285910927,-0.5605806016535375,-0.5577401774427369,-0.5858765913111552,41e7367e
CNNRNN16,11,r2,prediction,-0.5603535208588093,-0.5613646486224939,-0.6666377565661998,-0.5582416510754389,-0.5511610932919238,-0.5795517340829731,41e7367e
CNNLSTM16,11,r2,prediction,-0.5910826918720034,-0.5703181060369089,-0.6820050461130109,-0.588741619329483,-0.5813179323503739,-0.602693079140356,41e7367e
MLP16,11,r2,prediction,-0.5312141241004644,-0.5429283571980714,-0.6081913677572655,-0.4833917538122743,-0.4916541153439753,-0.5314759436424101,41e7367e
Linear,12,r2,prediction,-0.5723878561260483,-0.6656789147868538,-0.49269614618072866,-0.5124945514832058,-0.2787813841084761,-0.5044077705370625,41e7367e
RF10,12,r2,prediction,-0.40000000000000013,-0.11578947368421066,-0.04276315789473695,-0.3752513746502222,-0.18083346951964674,-0.22292749514976334,41e7367e
SVR-rbf,12,r2,prediction,-0.4886410464041664,-0.5013948277477727,-0.5208883835526663,-0.5608525245907243,-0.5239935226600603,-0.519154060991078,41e7367e
SVR-linear,12,r2,prediction,-0.6041267719990708,-0.6132870732914013,-0.6195800889122955,-0.631104269648032,-0.5955629337351813,-0.6127322275171962,41e7367e
XGB10,12,r2,prediction,-0.6319444010874895,-0.8459670750668926,-0.8166216266736237,-0.6410911209189036,-0.7018632173523949,-0.7274974882198609,41e7367e
RNN16,12,r2,prediction,-0.6356043461854732,-0.5570080526674961,-0.6349916262190565,-0.6275600368743641,-0.5856242245460219,-0.6081576572984824,41e7367e
LSTM16,12,r2,prediction,-0.6644257972377567,-0.6369250089369973,-0.6366114681367732,-0.6588501718033881,-0.6381558490105763,-0.6469936590250984,41e7367e
CNNRNN16,12,r2,prediction,-0.6562604894620439,-0.6341151908415972,-0.6343669317449603,-0.657786657009324,-0.647750733429336,-0.6460560004974523,41e7367e
CNNLSTM16,12,r2,prediction,-0.6208162648039635,-0.6402046682758664,-0.6350472111541543,-0.6470932497953124,-0.6322571081355481,-0.635083700432969,41e7367e
MLP16,12,r2,prediction,-0.6663846145098371,-0.6446711194740478,-0.6447148965129397,-0.6594299304622242,-0.6564209697854115,-0.6543243061488921,41e7367e
Linear,1,mape,prediction,1.9868988145446569,1.8641664681508376,1.3886187745549665,2.0148269263816228,1.9919471752482127,1.8492916317760593,41e7367e
RF10,1,mape,prediction,1.9125,1.9644444444444447,2.21,1.40863571370866,1.6209057993713714,1.8232971915048952,41e7367e
SVR-rbf,1,mape,prediction,0.3310551161566631,0.33941397963970615,0.3225329640000029,0.3615211169635332,0.3669416253847028,0.34429296042892166,41e7367e
SVR-linear,1,mape,prediction,0.24906873767271587,0.2560960091747098,0.24317399531901293,0.2724039966218569,0.27634217686226165,0.2594169831301114,41e7367e
XGB10,1,mape,prediction,0.9623153160338298,0.9058320106792497,0.948808210278852,0.7976422206815256,1.1085610102336383,0.9446317535814192,41e7367e
RNN16,1,mape,prediction,0.1303247097659852,0.6525238110004806,0.22686258139988397,0.45160505696476305,0.7044117077431336,0.4331455733748493,41e7367e
LSTM16,1,mape,prediction,0.12674182269895798,0.11926542276749208,0.18724681490290976,0.11679906877511008,0.09817810876182767,0.1296462475812595,41e7367e
CNNRNN16,1,mape,prediction,0.11050469347333836,0.11756588917525398,0.1383100735516501,0.08599716892030329,0.17335014865882084,0.1251455947558733,41e7367e
CNNLSTM16,1,mape,prediction,0.6724979077111601,0.4700690915476772,0.7331629282195534,0.8235807848877454,1.2427414970093693,0.7884104418751011,41e7367e
MLP16,1,mape,prediction,0.20532657722921505,0.15925996068249443,0.16287527353352288,0.23804280255805482,0.050063202743513405,0.16311356334936009,41e7367e
