model,season,metric,stage,HWD,HWM,HWA,Average,id_data
SVR-rbf,3,r2,prediction,0.015427128844342719,-0.1323524247180432,-0.17796552104964847,-0.09829693897444965,6e47cb06
SVR-linear,3,r2,prediction,-0.5298815670213564,-0.4720727056948537,-0.5251645601315718,-0.5090396109492606,6e47cb06
XGB10,3,r2,prediction,-0.09341888954422028,-0.08658144171642901,-0.026609474804498268,-0.06886993535504919,6e47cb06
RNN16,3,r2,prediction,0.547903637470397,0.3891105675997416,0.1641860276835171,0.3670667442512186,6e47cb06
LSTM16,3,r2,prediction,0.3029145236795392,0.026879759331241204,0.15910086947976088,0.16296505083018042,6e47cb06
CNNRNN16,3,r2,prediction,0.01779755089641566,-0.08122602475530027,-0.06546758008087661,-0.04296535131325374,6e47cb06
CNNLSTM16,3,r2,prediction,-0.10060044657125977,-0.11256259274875768,0.12384579014875374,-0.029772416390421236,6e47cb06
MLP16,3,r2,prediction,0.10418975062519586,-0.10677884995749864,-0.1466407365682454,-0.049743278633516054,6e47cb06
Linear,4,r2,prediction,-3.687830638123244,0.02322331701081337,0.04298055818115043,-1.2072089209770933,6e47cb06
RF10,4,r2,prediction,-2.0328752642706123,0.13569110620248415,-0.9099615783225412,-0.9357152454635566,6e47cb06
SVR-rbf,4,r2,prediction,-0.8709490745164539,-0.08731168918083432,-0.1296921975126233,-0.3626509870699705,6e47cb06
SVR-linear,4,r2,prediction,-6.295832078881607,-0.27474780465216053,-0.4119977725333541,-2.327525885355707,6e47cb06
XGB10,4,r2,prediction,0.10995091014074332,0.34690255529564173,-0.04342213733737821,0.13781044269966894,6e47cb06
RNN16,4,r2,prediction,-0.0663407281240771,0.4629967540136779,0.12130719497367137,0.17265440695442405,6e47cb06
LSTM16,4,r2,prediction,-0.9825922526053015,0.2669144025281621,-0.1018703459044652,-0.2725160653272015,6e47cb06
CNNRNN16,4,r2,prediction,-1.761216052919961,0.1427292102900347,0.14784832184739527,-0.49021284026084366,6e47cb06
CNNLSTM16,4,r2,prediction,-2.504241720489686,-0.41859095267515434,-0.2452089801857933,-1.0560138844502112,6e47cb06
MLP16,4,r2,prediction,-1.4608694450441542,-0.29525546607158226,-0.711642186943497,-0.8225890326864111,6e47cb06
Linear,5,r2,prediction,-2.3401854542015426,-2.114469979225223,-2.2610441426189674,-2.2385665253485776,6e47cb06
RF10,5,r2,prediction,0.3361859482303222,-0.4052192258902698,0.09299413436763626,0.00798695223589622,6e47cb06
SVR-rbf,5,r2,prediction,-0.5496456968563881,-0.4471659886044228,-0.5000644865713102,-0.498958724010707,6e47cb06
