model,season,metric,stage,HWN,HWF,Average,id_data
MLP16,9,r2,prediction,0.04209201970489995,0.15053891864207636,0.09631546917348816,6e47cb06
Linear,10,r2,prediction,-0.2603311028557087,0.5355947471312275,0.13763182213775937,6e47cb06
RF10,10,r2,prediction,-0.7161314984709481,0.06793313069908813,-0.32409918388593,6e47cb06
SVR-rbf,10,r2,prediction,0.17927869794402584,0.2954342943945496,0.23735649616928772,6e47cb06
SVR-linear,10,r2,prediction,-0.07140023793592687,0.5140319520407695,0.2213158570524213,6e47cb06
XGB10,10,r2,prediction,-0.0694550620499188,-0.19598764969094362,-0.1327213558704312,6e47cb06
RNN16,10,r2,prediction,0.4998303231729516,0.2628502982199047,0.38134031069642815,6e47cb06
LSTM16,10,r2,prediction,0.463786650514213,0.4442911848562303,0.45403891768522164,6e47cb06
CNNRNN16,10,r2,prediction,0.31737365707870313,0.20349246194890802,0.2604330595138056,6e47cb06
CNNLSTM16,10,r2,prediction,-0.2720056946123175,0.10354458767700381,-0.08423055346765684,6e47cb06
MLP16,10,r2,prediction,0.1658873766383817,0.13734956572552603,0.15161847118195387,6e47cb06
Linear,11,r2,prediction,-0.013877616902765455,-0.14308470027250286,-0.07848115858763416,6e47cb06
RF10,11,r2,prediction,-0.25933179723502287,-0.16854219948849103,-0.21393699836175695,6e47cb06
SVR-rbf,11,r2,prediction,-0.5318949659829091,-0.574437587982388,-0.5531662769826485,6e47cb06
SVR-linear,11,r2,prediction,-0.008614871844222494,-0.1557650037494689,-0.08218993779684569,6e47cb06
XGB10,11,r2,prediction,-0.3813856727521281,-0.47710601021864774,-0.4292458414853879,6e47cb06
RNN16,11,r2,prediction,-0.24405716710346526,-0.2210455413040715,-0.23255135420376838,6e47cb06
LSTM16,11,r2,prediction,0.24387211379638363,0.3358996568869619,0.28988588534167276,6e47cb06
CNNRNN16,11,r2,prediction,-0.33026823980014086,-0.3921274452385888,-0.3611978425193648,6e47cb06
CNNLSTM16,11,r2,prediction,-0.22752110089075406,-0.3009098892329445,-0.26421549506184927,6e47cb06
MLP16,11,r2,prediction,-0.31254626960134946,-0.3071374684960346,-0.30984186904869204,6e47cb06
Linear,12,r2,prediction,-48.430030044287875,-121.8061383587384,-85.11808420151314,6e47cb06
RF10,12,r2,prediction,-37.56250000000001,-44.81666666666666,-41.18958333333333,6e47cb06
SVR-rbf,12,r2,prediction,-9.667413013693958,-19.141417037063732,-14.404415025378846,6e47cb06
SVR-linear,12,r2,prediction,-18.59260128881156,-35.48231561336914,-27.03745845109035,6e47cb06
XGB10,12,r2,prediction,-12.32378683996661,-35.92285502009857,-24.123320930032587,6e47cb06
RNN16,12,r2,prediction,-11.504135600711756,-14.755093941851413,-13.129614771281584,6e47cb06
LSTM16,12,r2,prediction,-25.104229632377592,-69.85387163927244,-47.47905063582502,6e47cb06
CNNRNN16,12,r2,prediction,-2.974173407521448,-7.033539932750893,-5.00385667013617,6e47cb06
CNNLSTM16,12,r2,prediction,-4.830358703853238,-20.73227650237691,-12.781317603115074,6e47cb06
MLP16,12,r2,prediction,-2.6636084645234996,-10.003607820760699,-6.333608142642099,6e47cb06
Linear,1,mape,prediction,2.2310206365732266,1.4357632903260047,1.8333919634496156,6e47cb06
RF10,1,mape,prediction,0.8510302069737087,0.8609231406867195,0.8559766738302141,6e47cb06
SVR-rbf,1,mape,prediction,0.7073700800229537,0.8645407082993334,0.7859553941611435,6e47cb06
SVR-linear,1,mape,prediction,1.3577541098188444,1.3309842633954279,1.3443691866071361,6e47cb06
XGB10,1,mape,prediction,0.8651753764497594,0.809086189990321,0.8371307832200402,6e47cb06
RNN16,1,mape,prediction,1.2183374826220768,1.0558286422538412,1.1370830624379589,6e47cb06
LSTM16,1,mape,prediction,0.7922213637521686,0.8917851615375284,0.8420032626448485,6e47cb06
CNNRNN16,1,mape,prediction,0.695917145686576,0.7740965824629102,0.7350068640747431,6e47cb06
CNNLSTM16,1,mape,prediction,1.0307108084073016,0.8490142362100872,0.9398625223086944,6e47cb06
MLP16,1,mape,prediction,0.6815668311541121,1.0773310757149814,0.8794489534345468,6e47cb06
Linear,2,mape,prediction,0.9300646268347996,0.8175501839089273,0.8738074053718634,6e47cb06
RF10,2,mape,prediction,1.0957221232719034,0.938726632873435,1.0172243780726693,6e47cb06
SVR-rbf,2,mape,prediction,0.5737384512736015,0.7356279194190491,0.6546831853463253,6e47cb06
SVR-linear,2,mape,prediction,1.015637219670534,0.791179989474064,0.9034086045722991,6e47cb06
XGB10,2,mape,prediction,0.5499567480981016,0.7294031100714385,0.6396799290847701,6e47cb06
RNN16,2,mape,prediction,0.36428761082844385,0.6592963434461888,0.5117919771373163,6e47cb06
LSTM16,2,mape,prediction,0.8793905123810054,0.8645804992192525,0.8719855058001289,6e47cb06
CNNRNN16,2,mape,prediction,0.9130859277758674,0.8231437012794253,0.8681148145276463,6e47cb06
CNNLSTM16,2,mape,prediction,0.6254827638277712,0.8317577936630516,0.7286202787454115,6e47cb06
MLP16,2,mape,prediction,1.1523734511490145,0.6570738663674468,0.9047236587582306,6e47cb06
