model,season,metric,stage,HWN,HWF,Average,id_data
XGB10,7,mae,training,0.37703523521032717,0.3697404563476954,0.3733878457790113,6e47cb06
RNN16,7,mae,training,0.7699279371269817,0.7334902885544868,0.7517091128407343,6e47cb06
LSTM16,7,mae,training,0.9891523284219135,0.9431103430772275,0.9661313357495704,6e47cb06
CNNRNN16,7,mae,training,0.817862646108464,0.7897155920740191,0.8037891190912416,6e47cb06
CNNLSTM16,7,mae,training,0.8238138445688656,0.8203544861549458,0.8220841653619058,6e47cb06
MLP16,7,mae,training,0.8361422253837878,0.8091622295313858,0.8226522274575868,6e47cb06
Linear,8,mae,training,0.6742772814463628,0.6699669004521358,0.6721220909492494,6e47cb06
RF10,8,mae,training,0.35516174058613614,0.3694185745474217,0.36229015756677896,6e47cb06
SVR-rbf,8,mae,training,0.4273266674158386,0.43994930932064774,0.4336379883682432,6e47cb06
SVR-linear,8,mae,training,0.6355518264444359,0.6319295671947774,0.6337406968196067,6e47cb06
XGB10,8,mae,training,0.3634402642420329,0.41367093395472343,0.38855559909837817,6e47cb06
RNN16,8,mae,training,0.6408288126420532,0.6668854174145279,0.6538571150282906,6e47cb06
LSTM16,8,mae,training,0.629024638350433,0.6367485146356936,0.6328865764930633,6e47cb06
CNNRNN16,8,mae,training,0.6378766768166687,0.6737415813779805,0.6558091290973246,6e47cb06
CNNLSTM16,8,mae,training,0.7460430394179367,0.7450981339131759,0.7455705866655563,6e47cb06
MLP16,8,mae,training,0.7306588484170906,0.6592901773964605,0.6949745129067755,6e47cb06
Linear,9,mae,training,0.6504720020717855,0.5964051075081025,0.6234385547899439,6e47cb06
RF10,9,mae,training,0.334147079080891,0.3034111584619687,0.31877911877142984,6e47cb06
SVR-rbf,9,mae,training,0.4806986166372796,0.4330269042025861,0.45686276041993285,6e47cb06
SVR-linear,9,mae,training,0.637516603629474,0.5901804301461853,0.6138485168878296,6e47cb06
XGB10,9,mae,training,0.3866796734579093,0.38130010297782385,0.3839898882178666,6e47cb06
RNN16,9,mae,training,0.8376575941885005,0.7759728067588677,0.8068152004736842,6e47cb06
LSTM16,9,mae,training,0.796978727509174,0.8107701037091439,0.803874415609159,6e47cb06
CNNRNN16,9,mae,training,0.5334218494376272,0.5052481269318122,0.5193349881847197,6e47cb06
CNNLSTM16,9,mae,training,0.7997520747515902,0.8354700445996833,0.8176110596756367,6e47cb06
MLP16,9,mae,training,0.8659964219757157,0.7752114395778824,0.820603930776799,6e47cb06
Linear,10,mae,training,0.6715817731981084,0.6517344949759198,0.6616581340870141,6e47cb06
RF10,10,mae,training,0.3001447626175727,0.31672763843577045,0.3084362005266716,6e47cb06
SVR-rbf,10,mae,training,0.45220027492077625,0.4361899090443416,0.4441950919825589,6e47cb06
SVR-linear,10,mae,training,0.5756293567261724,0.5779146868817348,0.5767720218039536,6e47cb06
XGB10,10,mae,training,0.36539400806623074,0.4035348037072897,0.38446440588676023,6e47cb06
RNN16,10,mae,training,0.7234354070673408,0.7078848493004481,0.7156601281838945,6e47cb06
LSTM16,10,mae,training,0.5019191068169608,0.49650256253232605,0.49921083467464344,6e47cb06
CNNRNN16,10,mae,training,0.6195366902094078,0.6137321259043103,0.6166344080568591,6e47cb06
CNNLSTM16,10,mae,training,0.5201928716081177,0.521636380456668,0.5209146260323929,6e47cb06
MLP16,10,mae,training,0.7745549028305916,0.7457979758033771,0.7601764393169843,6e47cb06
Linear,11,mae,training,0.5923561771045978,0.5558889201751979,0.5741225486398978,6e47cb06
RF10,11,mae,training,0.3428540394742567,0.3211933224324984,0.33202368095337753,6e47cb06
SVR-rbf,11,mae,training,0.4266199735399904,0.39380157527470794,0.4102107744073492,6e47cb06
SVR-linear,11,mae,training,0.556415350806024,0.5315864408264942,0.5440008958162591,6e47cb06
XGB10,11,mae,training,0.37643086709571705,0.3771897189414004,0.37681029301855873,6e47cb06
RNN16,11,mae,training,0.8129747708749379,0.6853518809739588,0.7491633259244483,6e47cb06
LSTM16,11,mae,training,0.7529896341086718,0.6785714489118425,0.7157805415102572,6e47cb06
CNNRNN16,11,mae,training,0.7916347250488777,0.725476507163659,0.7585556161062683,6e47cb06
CNNLSTM16,11,mae,training,0.8237193709613692,0.7501079770061075,0.7869136739837383,6e47cb06
MLP16,11,mae,training,0.7565905419714428,0.6088872448451816,0.6827388934083123,6e47cb06
Linear,12,mae,training,0.6512285068256353,0.6231078329493349,0.6371681698874851,6e47cb06
RF10,12,mae,training,0.31511269635216793,0.2815769784476308,0.29834483739989937,6e47cb06
SVR-rbf,12,mae,training,0.4041013638776523,0.3774667752847098,0.39078406958118106,6e47cb06
SVR-linear,12,mae,training,0.5635126426250726,0.5134297284844126,0.5384711855547426,6e47cb06
XGB10,12,mae,training,0.3808033428027235,0.3539373151895878,0.3673703289961556,6e47cb06
RNN16,12,mae,training,0.6219123543031091,0.5298738513392608,0.5758931028211849,6e47cb06
LSTM16,12,mae,training,0.4947733400246543,0.42405014744593716,0.4594117437352957,6e47cb06
CNNRNN16,12,mae,training,0.5264107926134729,0.48909884748437704,0.507754820048925,6e47cb06
CNNLSTM16,12,mae,training,0.5630281916972014,0.5058808815109169,0.5344545366040592,6e47cb06
MLP16,12,mae,training,0.6344020158833311,0.6234252953708187,0.6289136556270749,6e47cb06
Linear,1,r2,CV,-4.137369552430394,-20.4802855646837,-12.308827558557049,6e47cb06
RF10,1,r2,CV,-1.0347451538384136,-6.628795405889437,-3.8317702798639255,6e47cb06
SVR-rbf,1,r2,CV,-0.508760226848885,-3.322247896678797,-1.915504061763841,6e47cb06
SVR-linear,1,r2,CV,-2.7616358747861263,-9.131591460591428,-5.946613667688777,6e47cb06
XGB10,1,r2,CV,-1.1468861472399874,-6.943539338293165,-4.0452127427665765,6e47cb06
RNN16,1,r2,CV,-1.2482344317819616,-2.3658744645980994,-1.8070544481900304,6e47cb06
LSTM16,1,r2,CV,-1.6012016212666245,-3.6381873559206475,-2.6196944885936357,6e47cb06
CNNRNN16,1,r2,CV,-0.7581369095894385,-0.9627495796418785,-0.8604432446156585,6e47cb06
CNNLSTM16,1,r2,CV,-1.3429721849963867,-2.122416632061835,-1.732694408529111,6e47cb06
MLP16,1,r2,CV,-1.0713632920399443,-3.288193775282462,-2.179778533661203,6e47cb06
Linear,2,r2,CV,-2.9698295473048697,-5.446093385797903,-4.207961466551387,6e47cb06
RF10,2,r2,CV,-1.0718518672420758,-1.1823822492584974,-1.1271170582502865,6e47cb06
SVR-rbf,2,r2,CV,-0.8562408074071127,-0.9766740859657743,-0.9164574466864435,6e47cb06
SVR-linear,2,r2,CV,-3.7672358420002445,-2.81796029414859,-3.292598068074417,6e47cb06
XGB10,2,r2,CV,-0.5710466585777378,-1.0447041925432035,-0.8078754255604707,6e47cb06
RNN16,2,r2,CV,-0.426047545954068,-0.739083721274443,-0.5825656336142555,6e47cb06
LSTM16,2,r2,CV,-0.499053230616615,-0.8509408160374692,-0.6749970233270421,6e47cb06
CNNRNN16,2,r2,CV,-0.3191951624473164,-0.5357881547812998,-0.4274916586143081,6e47cb06
CNNLSTM16,2,r2,CV,-0.4758736798997029,-0.7325792161748581,-0.6042264480372805,6e47cb06
MLP16,2,r2,CV,-0.6015037664818697,-0.6361472666417657,-0.6188255165618177,6e47cb06
Linear,3,r2,CV,-4.576273974620099,-11.37024862318545,-7.9732612989027745,6e47cb06
RF10,3,r2,CV,-2.323720553285934,-6.049051053952391,-4.186385803619163,6e47cb06
SVR-rbf,3,r2,CV,-0.7515331397345439,-1.095167305457211,-0.9233502225958775,6e47cb06
SVR-linear,3,r2,CV,-2.9067387410394057,-3.244734269850066,-3.075736505444736,6e47cb06
XGB10,3,r2,CV,-1.1576186951565934,-2.7909245304083945,-1.974271612782494,6e47cb06
RNN16,3,r2,CV,-0.5130684084367015,-0.551065843909531,-0.5320671261731162,6e47cb06
LSTM16,3,r2,CV,-0.37665695316020503,-0.1784047136012158,-0.2775308333807104,6e47cb06
CNNRNN16,3,r2,CV,-0.20417555236406074,-0.21457077022206197,-0.20937316129306136,6e47cb06
CNNLSTM16,3,r2,CV,-0.20333872849887982,-0.4976923218353526,-0.3505155251671162,6e47cb06
MLP16,3,r2,CV,-0.24322848131572578,-0.23732654147419227,-0.240277511394959,6e47cb06
Linear,4,r2,CV,-2.0648109548209828,-3.0861529495967326,-2.5754819522088575,6e47cb06
RF10,4,r2,CV,-0.6328447122003518,-1.0004191592053444,-0.8166319357028481,6e47cb06
SVR-rbf,4,r2,CV,-0.6166929175534793,-0.6451210762479869,-0.630906996900733,6e47cb06
SVR-linear,4,r2,CV,-3.9015275989646483,-4.610596389801935,-4.256061994383291,6e47cb06
XGB10,4,r2,CV,-0.5128749066034576,-1.1558426207698123,-0.834358763686635,6e47cb06
RNN16,4,r2,CV,-0.22541467624963804,-0.1851103839652809,-0.20526253010745948,6e47cb06
LSTM16,4,r2,CV,-0.19753940462683978,-0.17877071191877011,-0.18815505827280493,6e47cb06
CNNRNN16,4,r2,CV,-0.12966380767215316,-0.14600399888758644,-0.1378339032798698,6e47cb06
CNNLSTM16,4,r2,CV,-0.4585000236891164,-0.36423292475380914,-0.4113664742214628,6e47cb06
MLP16,4,r2,CV,-0.30938734472827933,-0.6291715570964418,-0.46927945091236056,6e47cb06
Linear,5,r2,CV,-1.481980531215263,-2.046760006347935,-1.764370268781599,6e47cb06
RF10,5,r2,CV,-0.9677190930549079,-1.3296371112183256,-1.1486781021366168,6e47cb06
SVR-rbf,5,r2,CV,-0.4565890228343391,-0.5027604015113842,-0.4796747121728617,6e47cb06
SVR-linear,5,r2,CV,-0.8283729363859095,-0.8537720327843964,-0.8410724845851529,6e47cb06
XGB10,5,r2,CV,-0.7588485335128379,-0.990631861834421,-0.8747401976736294,6e47cb06
RNN16,5,r2,CV,-0.24206075158983964,-0.25547012737924335,-0.2487654394845415,6e47cb06
LSTM16,5,r2,CV,-0.13050452988928118,-0.2246715111781246,-0.17758802053370287,6e47cb06
CNNRNN16,5,r2,CV,-0.10098869179981158,-0.16688589906128584,-0.13393729543054872,6e47cb06
CNNLSTM16,5,r2,CV,-0.49647712472399724,-0.41021481468854054,-0.4533459697062689,6e47cb06
MLP16,5,r2,CV,-0.1506599186082589,-0.6741954009567851,-0.412427659782522,6e47cb06
Linear,6,r2,CV,-1.6936522212871856,-1.8868071239928839,-1.7902296726400349,6e47cb06
RF10,6,r2,CV,-0.7491512288027952,-1.774241773704098,-1.2616965012534467,6e47cb06
SVR-rbf,6,r2,CV,-0.573908018128344,-0.7756744284450192,-0.6747912232866816,6e47cb06
SVR-linear,6,r2,CV,-1.7044270977424039,-1.8588640427344785,-1.781645570238441,6e47cb06
XGB10,6,r2,CV,-0.7143286119751906,-2.497347385451835,-1.6058379987135127,6e47cb06
RNN16,6,r2,CV,-0.13427767759119258,-0.14961519857128885,-0.14194643808124072,6e47cb06
LSTM16,6,r2,CV,-0.1801422050711401,-0.1913542880908787,-0.1857482465810094,6e47cb06
CNNRNN16,6,r2,CV,-0.07709141134386147,-0.07930723996676001,-0.07819932565531074,6e47cb06
CNNLSTM16,6,r2,CV,-0.194651776734098,-0.1403658308771538,-0.16750880380562588,6e47cb06
MLP16,6,r2,CV,-0.1726313281110314,-0.25480398288366274,-0.21371765549734706,6e47cb06
Linear,7,r2,CV,-1.4717497095405756,-1.8370498098217531,-1.6543997596811644,6e47cb06
RF10,7,r2,CV,-0.6729408582467759,-0.7794876952963762,-0.726214276771576,6e47cb06
SVR-rbf,7,r2,CV,-0.39773624344355873,-0.35073027043251914,-0.37423325693803894,6e47cb06
SVR-linear,7,r2,CV,-1.0182783042244103,-1.001508063007455,-1.0098931836159326,6e47cb06
XGB10,7,r2,CV,-0.541089560995323,-0.7490722522797466,-0.6450809066375348,6e47cb06
RNN16,7,r2,CV,-0.2812430611775113,-0.3218353454750278,-0.30153920332626954,6e47cb06
LSTM16,7,r2,CV,-0.8408033770042507,-0.6200128388214339,-0.7304081079128423,6e47cb06
CNNRNN16,7,r2,CV,-0.5021155251050237,-0.34227356216521165,-0.42219454363511766,6e47cb06
CNNLSTM16,7,r2,CV,-0.9627479195200814,-0.7735485717799014,-0.8681482456499914,6e47cb06
MLP16,7,r2,CV,-0.4729002708326281,-0.4581616199634203,-0.4655309453980242,6e47cb06
Linear,8,r2,CV,-2.4333256015937006,-3.1849112408123035,-2.809118421203002,6e47cb06
RF10,8,r2,CV,-0.8842713970215804,-0.6556475414564514,-0.7699594692390159,6e47cb06
SVR-rbf,8,r2,CV,-0.40074908235778317,-0.4961347395326953,-0.4484419109452392,6e47cb06
SVR-linear,8,r2,CV,-1.9700954357607905,-2.931377981316479,-2.450736708538635,6e47cb06
XGB10,8,r2,CV,-0.9706734672291619,-0.8959961672531801,-0.9333348172411711,6e47cb06
RNN16,8,r2,CV,-1.1481700824077148,-2.182085292246494,-1.6651276873271044,6e47cb06
LSTM16,8,r2,CV,-2.7740691644549975,-4.76588469499565,-3.769976929725324,6e47cb06
CNNRNN16,8,r2,CV,-1.2691585444761395,-2.2031951671370797,-1.7361768558066095,6e47cb06
CNNLSTM16,8,r2,CV,-1.4663749532400163,-2.7745589408207536,-2.120466947030385,6e47cb06
MLP16,8,r2,CV,-1.251693053300189,-1.8132471945442021,-1.5324701239221956,6e47cb06
Linear,9,r2,CV,-4.481301686813444,-5.183484607023674,-4.832393146918559,6e47cb06
RF10,9,r2,CV,-1.0103021195330346,-1.7797411193301844,-1.3950216194316094,6e47cb06
SVR-rbf,9,r2,CV,-0.7953374894774752,-1.1035204319662693,-0.9494289607218722,6e47cb06
SVR-linear,9,r2,CV,-5.194447853422897,-6.1406406495615204,-5.667544251492209,6e47cb06
XGB10,9,r2,CV,-1.249452962274052,-1.3393870888966064,-1.294420025585329,6e47cb06
RNN16,9,r2,CV,-0.3750660319652148,-0.36253726438383826,-0.36880164817452654,6e47cb06
LSTM16,9,r2,CV,-0.37715818407946483,-0.5210287454278223,-0.44909346475364353,6e47cb06
CNNRNN16,9,r2,CV,-0.4313372946623585,-0.41954724073725375,-0.4254422676998061,6e47cb06
CNNLSTM16,9,r2,CV,-0.4486459888171189,-0.6669144916323236,-0.5577802402247213,6e47cb06
MLP16,9,r2,CV,-0.4241195730411367,-0.25980542992630123,-0.341962501483719,6e47cb06
Linear,10,r2,CV,-8.357805682484289,-10.254934102851909,-9.306369892668098,6e47cb06
RF10,10,r2,CV,-2.2741102634504924,-3.107166647263683,-2.690638455357088,6e47cb06
SVR-rbf,10,r2,CV,-1.861541685156202,-1.574142699317538,-1.71784219223687,6e47cb06
SVR-linear,10,r2,CV,-2.295187920244969,-5.043684127874486,-3.6694360240597277,6e47cb06
XGB10,10,r2,CV,-2.6377921893653418,-3.6451302149549676,-3.141461202160155,6e47cb06
RNN16,10,r2,CV,0.024863367079916418,-0.09505109826592946,-0.03509386559300652,6e47cb06
LSTM16,10,r2,CV,-0.10843254084674692,-0.1711703940425185,-0.1398014674446327,6e47cb06
CNNRNN16,10,r2,CV,-0.4781957152692132,-0.5309835060011436,-0.5045896106351784,6e47cb06
CNNLSTM16,10,r2,CV,-0.291739894681574,-0.1966740315316332,-0.24420696310660361,6e47cb06
MLP16,10,r2,CV,-0.10938236366116134,-0.3309299431273869,-0.2201561533942741,6e47cb06
Linear,11,r2,CV,-2.53329058785714,-3.5032240381085322,-3.0182573129828363,6e47cb06
RF10,11,r2,CV,-1.9916683207163401,-2.8011829664205337,-2.396425643568437,6e47cb06
SVR-rbf,11,r2,CV,-2.40377179293701,-2.312458077786763,-2.3581149353618867,6e47cb06
SVR-linear,11,r2,CV,-3.0790394625419757,-5.473247417765547,-4.276143440153762,6e47cb06
XGB10,11,r2,CV,-2.9265144777752368,-3.806133667703972,-3.366324072739604,6e47cb06
RNN16,11,r2,CV,-0.8783289474823388,-0.23192421101790484,-0.5551265792501219,6e47cb06
LSTM16,11,r2,CV,-0.6751481050013325,-0.3520312376492174,-0.513589671325275,6e47cb06
CNNRNN16,11,r2,CV,-0.9558811843597894,-0.443197186248139,-0.6995391853039642,6e47cb06
CNNLSTM16,11,r2,CV,-1.0002709333906703,-0.576305575602091,-0.7882882544963806,6e47cb06
MLP16,11,r2,CV,-1.178208838387993,-0.6693380273229255,-0.9237734328554592,6e47cb06
Linear,12,r2,CV,-29.30092196532641,-77.11720280894248,-53.209062387134445,6e47cb06
RF10,12,r2,CV,-7.1753525944969185,-9.69638869660432,-8.435870645550619,6e47cb06
SVR-rbf,12,r2,CV,-1.8127711851169277,-3.173970292296225,-2.4933707387065764,6e47cb06
SVR-linear,12,r2,CV,-5.989380280778242,-13.21802300437135,-9.603701642574796,6e47cb06
XGB10,12,r2,CV,-2.649095154982812,-6.282117793374536,-4.465606474178674,6e47cb06
RNN16,12,r2,CV,-0.9104692422055178,-1.3260590581639036,-1.1182641501847108,6e47cb06
LSTM16,12,r2,CV,-1.9245867131215828,-2.920742169484494,-2.4226644413030387,6e47cb06
CNNRNN16,12,r2,CV,-1.1612560505212879,-1.4023344069473729,-1.2817952287343304,6e47cb06
CNNLSTM16,12,r2,CV,-1.2513797891896157,-1.6089179839575714,-1.4301488865735936,6e47cb06
MLP16,12,r2,CV,-0.48116779945527643,-3.3879908072305627,-1.9345793033429195,6e47cb06
Linear,1,mape,CV,2.94952784530922,2.302188668612573,2.6258582569608966,6e47cb06
RF10,1,mape,CV,1.734586503867686,1.624150486327213,1.6793684950974495,6e47cb06
SVR-rbf,1,mape,CV,1.5967767618589435,1.3973027903943527,1.497039776126648,6e47cb06
SVR-linear,1,mape,CV,2.7998651093492337,1.7691036047296755,2.284484357039455,6e47cb06
XGB10,1,mape,CV,1.2984111801999778,1.3782964262469584,1.338353803223468,6e47cb06
RNN16,1,mape,CV,1.4737020917783665,0.9778626962033283,1.2257823939908474,6e47cb06
LSTM16,1,mape,CV,1.0637226640685946,1.0843485257106185,1.0740355948896065,6e47cb06
CNNRNN16,1,mape,CV,1.0566039349183882,0.7964113117402127,0.9265076233293005,6e47cb06
CNNLSTM16,1,mape,CV,1.4777661064176846,0.996284153135942,1.2370251297768133,6e47cb06
MLP16,1,mape,CV,1.0450296534001937,1.076685457605198,1.0608575555026958,6e47cb06
Linear,2,mape,CV,2.607344119523713,3.259949824715475,2.933646972119594,6e47cb06
RF10,2,mape,CV,1.549759356388849,1.3180316314193674,1.4338954939041082,6e47cb06
SVR-rbf,2,mape,CV,1.5034208611260937,1.5621036118518319,1.5327622364889628,6e47cb06
SVR-linear,2,mape,CV,2.699528944747526,2.8334360761062163,2.7664825104268713,6e47cb06
XGB10,2,mape,CV,1.3231764587402792,1.2180013056783505,1.270588882209315,6e47cb06
RNN16,2,mape,CV,1.115806401975512,1.6709712899954248,1.3933888459854684,6e47cb06
LSTM16,2,mape,CV,1.534588536606086,1.9510248767156109,1.7428067066608484,6e47cb06
CNNRNN16,2,mape,CV,1.0654754432452995,1.1771702153800399,1.1213228293126698,6e47cb06
CNNLSTM16,2,mape,CV,1.0764164836105607,1.637898843374131,1.357157663492346,6e47cb06
MLP16,2,mape,CV,1.1416295908133534,1.1355921237197335,1.1386108572665434,6e47cb06
Linear,3,mape,CV,2.060965522239804,4.3005769754831915,3.1807712488614976,6e47cb06
RF10,3,mape,CV,1.9007775589742661,2.9907184355425906,2.4457479972584286,6e47cb06
SVR-rbf,3,mape,CV,1.2636652490821336,2.269438784124337,1.7665520166032354,6e47cb06
SVR-linear,3,mape,CV,2.0133144715488673,2.5024225227991783,2.257868497174023,6e47cb06
XGB10,3,mape,CV,1.7596487691380254,2.82070552328075,2.2901771462093876,6e47cb06
RNN16,3,mape,CV,1.5417189033632503,1.7651773839401503,1.6534481436517003,6e47cb06
LSTM16,3,mape,CV,1.7144073231471197,2.9077530712679622,2.311080197207541,6e47cb06
CNNRNN16,3,mape,CV,1.198262285107363,1.8888124871064016,1.5435373861068822,6e47cb06
CNNLSTM16,3,mape,CV,1.251558481390252,2.1766068333530018,1.7140826573716268,6e47cb06
MLP16,3,mape,CV,1.045487123942926,1.8628413401856867,1.4541642320643065,6e47cb06
Linear,4,mape,CV,2.497525634643756,2.2117326883008355,2.354629161472296,6e47cb06
RF10,4,mape,CV,2.0357777273488677,1.6878110666377322,1.8617943969933,6e47cb06
SVR-rbf,4,mape,CV,1.9931288131198628,1.5559438873270122,1.7745363502234375,6e47cb06
SVR-linear,4,mape,CV,3.080796809473184,2.649628112752773,2.8652124611129786,6e47cb06
XGB10,4,mape,CV,1.5426529826073165,1.4518854590129646,1.4972692208101406,6e47cb06
RNN16,4,mape,CV,1.5125038893188374,1.2212471659849802,1.3668755276519087,6e47cb06
LSTM16,4,mape,CV,1.85068609158045,1.5101445236721942,1.6804153076263222,6e47cb06
CNNRNN16,4,mape,CV,1.434040922434873,1.2246770131086542,1.3293589677717637,6e47cb06
CNNLSTM16,4,mape,CV,1.4655520255641026,1.247954566590394,1.3567532960772484,6e47cb06
MLP16,4,mape,CV,1.1590126660360835,1.3029975533750815,1.2310051097055825,6e47cb06
Linear,5,mape,CV,3.4492721635594434,3.289567266611899,3.3694197150856713,6e47cb06
RF10,5,mape,CV,1.9329613386098408,1.8493486542968367,1.8911549964533387,6e47cb06
SVR-rbf,5,mape,CV,1.3568491719005,1.43873844657687,1.397793809238685,6e47cb06
SVR-linear,5,mape,CV,2.8593698517389514,2.204037094545194,2.5317034731420724,6e47cb06
XGB10,5,mape,CV,1.761418807697258,1.4506096868912308,1.6060142472942442,6e47cb06
RNN16,5,mape,CV,1.2165294508075335,1.3951004061159125,1.3058149284617229,6e47cb06
LSTM16,5,mape,CV,1.383779931921035,1.6620144536244874,1.5228971927727613,6e47cb06
CNNRNN16,5,mape,CV,1.4721756070587007,1.4385561537489107,1.4553658804038057,6e47cb06
CNNLSTM16,5,mape,CV,2.142461447550965,1.4823804822197861,1.8124209648853755,6e47cb06
MLP16,5,mape,CV,1.5462289121801762,1.4809158478780469,1.5135723800291117,6e47cb06
Linear,6,mape,CV,2.027594217614253,1.8666129313719384,1.9471035744930956,6e47cb06
RF10,6,mape,CV,1.441383354862931,1.5939338049107703,1.5176585798868505,6e47cb06
SVR-rbf,6,mape,CV,1.2927916004685565,1.3956171344973591,1.3442043674829578,6e47cb06
SVR-linear,6,mape,CV,2.2177906202156232,1.626502812313353,1.922146716264488,6e47cb06
XGB10,6,mape,CV,1.381543397448577,1.4951143619337912,1.4383288796911842,6e47cb06
RNN16,6,mape,CV,1.2191682437950584,1.0005637172966928,1.1098659805458757,6e47cb06
LSTM16,6,mape,CV,1.1494943117121892,1.323799594613426,1.2366469531628077,6e47cb06
CNNRNN16,6,mape,CV,0.8530894909324557,1.055019097435996,0.9540542941842258,6e47cb06
CNNLSTM16,6,mape,CV,1.2628047604510724,1.211010784246881,1.2369077723489768,6e47cb06
MLP16,6,mape,CV,1.0020447998845188,1.4946356984094464,1.2483402491469826,6e47cb06
Linear,7,mape,CV,1.751767947585249,2.3194739920127487,2.035620969798999,6e47cb06
RF10,7,mape,CV,1.2016319049520563,1.4415905632293358,1.321611234090696,6e47cb06
SVR-rbf,7,mape,CV,1.164332597255379,1.2058626362459197,1.1850976167506495,6e47cb06
SVR-linear,7,mape,CV,1.6815634713415926,2.0829607741173946,1.8822621227294936,6e47cb06
XGB10,7,mape,CV,1.2643369730688234,1.5573940529186334,1.4108655129937284,6e47cb06
RNN16,7,mape,CV,0.8843312601854025,0.920693808653606,0.9025125344195042,6e47cb06
LSTM16,7,mape,CV,1.1840943691284163,1.2525077814084988,1.2183010752684575,6e47cb06
CNNRNN16,7,mape,CV,0.9036665891361921,0.9631472753964208,0.9334069322663064,6e47cb06
CNNLSTM16,7,mape,CV,1.149975065781105,1.267088055312127,1.208531560546616,6e47cb06
MLP16,7,mape,CV,1.1657018892443622,1.1006216727744915,1.1331617810094268,6e47cb06
Linear,8,mape,CV,3.222152892875284,5.824033099347714,4.523092996111499,6e47cb06
RF10,8,mape,CV,1.5698570345022282,2.913886071228494,2.241871552865361,6e47cb06
SVR-rbf,8,mape,CV,1.4714954151650126,2.162733857717298,1.8171146364411552,6e47cb06
SVR-linear,8,mape,CV,2.3414447105349883,6.196724217561494,4.269084464048241,6e47cb06
XGB10,8,mape,CV,1.4644874440212896,3.714910155950752,2.589698799986021,6e47cb06
RNN16,8,mape,CV,1.2376525901921938,2.72957075258132,1.983611671386757,6e47cb06
LSTM16,8,mape,CV,1.8455116831799958,3.1232749151933064,2.4843932991866513,6e47cb06
CNNRNN16,8,mape,CV,1.2317623104871247,2.274823058877625,1.7532926846823749,6e47cb06
CNNLSTM16,8,mape,CV,1.4553136271510108,2.2312430879620457,1.8432783575565281,6e47cb06
MLP16,8,mape,CV,1.2663798046892516,2.091378673013833,1.6788792388515423,6e47cb06
Linear,9,mape,CV,2.4806651683990877,2.890366329750921,2.6855157490750043,6e47cb06
RF10,9,mape,CV,1.5062477490986024,2.2437212571812752,1.8749845031399388,6e47cb06
SVR-rbf,9,mape,CV,1.2902867367605144,2.2859404924377795,1.788113614599147,6e47cb06
SVR-linear,9,mape,CV,2.578750710891959,3.2715712197140747,2.925160965303017,6e47cb06
XGB10,9,mape,CV,1.7361127703660124,3.038026285470685,2.387069527918349,6e47cb06
RNN16,9,mape,CV,1.1575469328183872,1.4485662689866412,1.3030566009025142,6e47cb06
LSTM16,9,mape,CV,1.3721721703706948,2.4707152698059858,1.9214437200883403,6e47cb06
CNNRNN16,9,mape,CV,1.2562345503070982,1.6722369180744376,1.464235734190768,6e47cb06
CNNLSTM16,9,mape,CV,1.3739697762284515,1.8955306954067472,1.6347502358175994,6e47cb06
MLP16,9,mape,CV,1.2925973515201445,1.4917836534196556,1.3921905024699002,6e47cb06
Linear,10,mape,CV,2.7698569202993264,4.3092053914127515,3.539531155856039,6e47cb06
RF10,10,mape,CV,1.6363113641422502,1.4319992774230972,1.5341553207826737,6e47cb06
SVR-rbf,10,mape,CV,1.314804975524384,1.8393231124745584,1.5770640439994712,6e47cb06
SVR-linear,10,mape,CV,2.0080291471062264,3.760472805256171,2.8842509761811987,6e47cb06
XGB10,10,mape,CV,1.3679054619251452,2.015660490234905,1.6917829760800251,6e47cb06
RNN16,10,mape,CV,1.3669642165539928,1.7886378946310473,1.57780105559252,6e47cb06
LSTM16,10,mape,CV,1.435061068319386,2.107104237551048,1.7710826529352168,6e47cb06
CNNRNN16,10,mape,CV,1.2358069755818366,1.275199603035118,1.2555032893084772,6e47cb06
CNNLSTM16,10,mape,CV,1.3402062760757032,1.301958124380996,1.3210822002283495,6e47cb06
MLP16,10,mape,CV,1.2690699244672237,1.432783693163713,1.3509268088154682,6e47cb06
Linear,11,mape,CV,1.402683467560752,1.5818402234956228,1.4922618455281875,6e47cb06
RF10,11,mape,CV,1.2350229000015982,1.5070252173609686,1.3710240586812834,6e47cb06
SVR-rbf,11,mape,CV,1.2502870433024333,1.1376527647059211,1.1939699040041774,6e47cb06
SVR-linear,11,mape,CV,1.514444308055265,1.7875689017658054,1.6510066049105352,6e47cb06
XGB10,11,mape,CV,1.144587919813672,1.613132708620104,1.378860314216888,6e47cb06
RNN16,11,mape,CV,1.1726102518376873,0.9887644840861218,1.0806873679619047,6e47cb06
LSTM16,11,mape,CV,1.1537848332811727,1.0840536651898793,1.118919249235526,6e47cb06
CNNRNN16,11,mape,CV,1.058457926723588,1.0670560383396028,1.0627569825315955,6e47cb06
CNNLSTM16,11,mape,CV,1.1444129024438146,1.2345453484914541,1.1894791254676345,6e47cb06
MLP16,11,mape,CV,1.0493902148108623,1.1781887679365988,1.1137894913737305,6e47cb06
Linear,12,mape,CV,2.4128600645368636,3.0237457029875374,2.7183028837622008,6e47cb06
RF10,12,mape,CV,1.481985898760538,2.431837455741256,1.956911677250897,6e47cb06
