model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
MLP16,1,mae,CV,0.8400518452614129,0.7851373818119398,0.7695795151805199,0.8980353042175633,0.8566000464599416,0.8298808185862756,cb34c388
MLP8,1,mae,CV,0.8187172524985132,0.8237006872979542,0.8879728922606224,0.8984785394448616,0.818505439832379,0.849474962266866,cb34c388
Linear,1,r2,TSCV,-5.2372957678473915,-2.7260318895935303,-4.381227813961038,-4.808588189552489,-4.31173820591475,-4.29297637337384,cb34c388
RF5,1,r2,TSCV,-3.234434437753675,-2.849684528461263,-3.0942025754699807,-4.8081863813198575,-4.744950059428649,-3.746291596486685,cb34c388
RF10,1,r2,TSCV,-2.9601921309517025,-2.595091415063103,-2.63590981262887,-4.407952847568601,-3.9584521317331722,-3.31151966758909,cb34c388
SVR-rbf,1,r2,TSCV,-2.7660326060602882,-2.524430931530264,-2.962464350203096,-4.687445671026971,-3.9353698178673944,-3.375148675337603,cb34c388
SVR-linear,1,r2,TSCV,-1.6136222435231518,-1.7034624706586963,-3.266767700062435,-2.2671035702806375,-1.8110804541233345,-2.1324072877296514,cb34c388
SVR-cubic,1,r2,TSCV,-3.181102777921576,-3.0436249526822015,-3.357619125917068,-6.049914290708292,-5.705056731760522,-4.267463575797932,cb34c388
XGBL10,1,r2,TSCV,-3.131169674216345,-3.028477854413329,-2.7304436780958152,-4.4730041045730635,-3.1268623760081757,-3.297991537461346,cb34c388
XGBL15,1,r2,TSCV,-3.368335523370992,-3.252362222418306,-2.9076569289022185,-4.8932383380316224,-3.1744970371137122,-3.5192180099673704,cb34c388
XGBT10,1,r2,TSCV,-3.131169674216345,-3.028477854413329,-2.7304436780958152,-4.4730041045730635,-3.1268623760081757,-3.297991537461346,cb34c388
XGBT15,1,r2,TSCV,-3.368335523370992,-3.252362222418306,-2.9076569289022185,-4.8932383380316224,-3.1744970371137122,-3.5192180099673704,cb34c388
GPR,1,r2,TSCV,-2.6685677389548346,-2.4369439320971074,-2.6301261157305276,-3.7329099416895613,-2.1690910355804327,-2.7275277528104924,cb34c388
RNN8,1,r2,TSCV,-2.8531417869700855,-2.4869393776438327,-1.9840903547786142,-2.694830071856768,-2.9751985548001927,-2.5988400292098985,cb34c388
LSTM8,1,r2,TSCV,-1.6500585470213591,-1.7553629905328356,-1.5149384253439484,-1.891503542585069,-1.8850853992964858,-1.7393897809559395,cb34c388
RNN16,1,r2,TSCV,-1.4190313128291723,-2.083638245439814,-4.802812311676649,-2.3022998148350093,-1.1798759148600662,-2.357531519928142,cb34c388
LSTM16,1,r2,TSCV,-2.1355049384980447,-1.4465678267453201,-1.7427414655695097,-2.171644452284628,-1.5141646437755112,-1.8021246653746026,cb34c388
