model,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
CNNLSTM16,10,r2,prediction,0.08605497593609956,-0.24189368537747669,-0.1900291034790722,-0.6531388453305655,-0.44351107955843205,-0.2885035475618894,978f49d7
MLP16,10,r2,prediction,-0.16471678812318413,-0.2495820734917329,-0.3524788495174973,-0.721295330300761,-0.4127421620262455,-0.38016304069188417,978f49d7
RNN16,11,r2,prediction,-0.9015985905974131,-1.0462904640012796,-0.81228832709314,-0.6378459213388625,-0.5637505897035893,-0.7923547785468569,978f49d7
LSTM16,11,r2,prediction,-0.8287782368629173,-0.8626621940118184,-0.7033210184602987,-0.6925342388114748,-0.6020981020323386,-0.7378787580357695,978f49d7
GRU16,11,r2,prediction,-0.7411847539431724,-1.0678511322092916,-0.6547656171549461,-0.6932520388475993,-0.846331629644242,-0.8006770343598502,978f49d7
SRNN16,11,r2,prediction,-0.6209686581027278,-0.5032436522494863,-0.5953872533300524,-0.4913808183073689,-1.0535813729897674,-0.6529123509958806,978f49d7
SLSTM16,11,r2,prediction,-0.9071118641665958,-0.7938392666442051,-0.6727651298947792,-0.5629020380159375,-0.5208481723003142,-0.6914932942043664,978f49d7
CNNRNN16,11,r2,prediction,-0.5204725069964709,-1.4162293505077423,-0.8214677583017935,-0.4702057431253317,-0.39410977535610914,-0.7244970268574896,978f49d7
CNNLSTM16,11,r2,prediction,-0.6848671289915247,-0.7686463775678467,-0.6884472316647394,-0.5623532298875744,-0.6366244548589726,-0.6681876845941315,978f49d7
MLP16,11,r2,prediction,-1.7355614186275878,-1.0427359603580268,-0.6598032862098111,-1.3892279881655534,-0.9940006346247177,-1.1642658575971394,978f49d7
RNN16,12,r2,prediction,0.37320746012840766,0.2945927403263531,0.17939488631211675,0.11262588190579059,0.04727420310128283,0.2014190343547902,978f49d7
LSTM16,12,r2,prediction,-0.6185010465134417,-0.8168567388276531,-0.7963688110752201,-0.626907940235393,-0.5601664743183312,-0.6837602021940077,978f49d7
GRU16,12,r2,prediction,-0.9326636365566046,-1.3295805413524322,-0.4935420093309295,-0.129381766967263,-1.1548722963970914,-0.8080080501208642,978f49d7
SRNN16,12,r2,prediction,-0.5692033997721604,-0.9427178421902753,-0.6686023237209597,-1.1462855600177453,0.08561205919620407,-0.6482394133009872,978f49d7
SLSTM16,12,r2,prediction,-0.6540469604673267,-0.5389019430963444,-0.5701605346398844,-0.5742417474856578,-0.5166822250694294,-0.5708066821517285,978f49d7
CNNRNN16,12,r2,prediction,-1.391088759154628,-1.1390947620938139,-0.664007539859627,0.05987129318274076,-0.17410994976209815,-0.6616859435374852,978f49d7
