id,filename,boxes,top_n,var_thresh,modes,frequency,season,methods,extra_indices,only_sea
793afce6,predictor_793afce6_7.parquet,0,5,0.1,1,2monthly,7,ps,,True
793afce6,predictor_793afce6_8.parquet,0,5,0.1,1,2monthly,8,ps,,True
793afce6,predictor_793afce6_9.parquet,0,5,0.1,1,2monthly,9,ps,,True
793afce6,predictor_793afce6_10.parquet,0,5,0.1,1,2monthly,10,ps,,True
793afce6,predictor_793afce6_11.parquet,0,5,0.1,1,2monthly,11,ps,,True
793afce6,predictor_793afce6_12.parquet,0,5,0.1,1,2monthly,12,ps,,True
64b53b65,predictor_64b53b65_1.parquet,0,10,0.1,1,2monthly,1,ps,,True
64b53b65,predictor_64b53b65_2.parquet,0,10,0.1,1,2monthly,2,ps,,True
64b53b65,predictor_64b53b65_3.parquet,0,10,0.1,1,2monthly,3,ps,,True
64b53b65,predictor_64b53b65_4.parquet,0,10,0.1,1,2monthly,4,ps,,True
64b53b65,predictor_64b53b65_5.parquet,0,10,0.1,1,2monthly,5,ps,,True
64b53b65,predictor_64b53b65_6.parquet,0,10,0.1,1,2monthly,6,ps,,True
64b53b65,predictor_64b53b65_7.parquet,0,10,0.1,1,2monthly,7,ps,,True
64b53b65,predictor_64b53b65_8.parquet,0,10,0.1,1,2monthly,8,ps,,True
64b53b65,predictor_64b53b65_9.parquet,0,10,0.1,1,2monthly,9,ps,,True
64b53b65,predictor_64b53b65_10.parquet,0,10,0.1,1,2monthly,10,ps,,True
64b53b65,predictor_64b53b65_11.parquet,0,10,0.1,1,2monthly,11,ps,,True
64b53b65,predictor_64b53b65_12.parquet,0,10,0.1,1,2monthly,12,ps,,True
7ac1eb39,predictor_7ac1eb39_1.parquet,0,15,0.1,1,2monthly,1,ps,,True
7ac1eb39,predictor_7ac1eb39_2.parquet,0,15,0.1,1,2monthly,2,ps,,True
7ac1eb39,predictor_7ac1eb39_3.parquet,0,15,0.1,1,2monthly,3,ps,,True
7ac1eb39,predictor_7ac1eb39_4.parquet,0,15,0.1,1,2monthly,4,ps,,True
7ac1eb39,predictor_7ac1eb39_5.parquet,0,15,0.1,1,2monthly,5,ps,,True
7ac1eb39,predictor_7ac1eb39_6.parquet,0,15,0.1,1,2monthly,6,ps,,True
7ac1eb39,predictor_7ac1eb39_7.parquet,0,15,0.1,1,2monthly,7,ps,,True
7ac1eb39,predictor_7ac1eb39_8.parquet,0,15,0.1,1,2monthly,8,ps,,True
7ac1eb39,predictor_7ac1eb39_9.parquet,0,15,0.1,1,2monthly,9,ps,,True
7ac1eb39,predictor_7ac1eb39_10.parquet,0,15,0.1,1,2monthly,10,ps,,True
7ac1eb39,predictor_7ac1eb39_11.parquet,0,15,0.1,1,2monthly,11,ps,,True
7ac1eb39,predictor_7ac1eb39_12.parquet,0,15,0.1,1,2monthly,12,ps,,True
17a5918b,predictor_17a5918b_1.parquet,0,20,0.1,1,2monthly,1,ps,,True
