model,season,Bounds,I_w,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,prediction,163.9227294921875,163.9227294921875,163.9227294921875,163.9227294921875,163.9227294921875,163.9227294921875,8359c65d
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,prediction,163.08963012695312,163.08963012695312,163.08963012695312,163.08963012695312,163.08963012695312,163.08963012695312,8359c65d
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,prediction,182.9198760986328,182.9198760986328,182.9198760986328,182.9198760986328,182.9198760986328,182.9198760986328,8359c65d
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,training,82.35029143928612,93.5100213207702,102.96719290077083,94.0716858604628,98.11676230802932,94.20319076586385,8359c65d
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,training,691.0560302734375,691.0560302734375,691.0560302734375,691.0560302734375,691.0560302734375,691.0560302734375,8359c65d
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,training,683.322998046875,683.322998046875,683.322998046875,683.322998046875,683.322998046875,683.322998046875,8359c65d
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,training,691.259765625,691.259765625,691.259765625,691.259765625,691.259765625,691.259765625,8359c65d
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,training,897.3172607421875,897.3172607421875,897.3172607421875,897.3172607421875,897.3172607421875,897.3172607421875,8359c65d
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,CV,26.61416205119241,28.938219327348122,28.362071811277012,28.49898948005919,28.360918603942828,28.154872254763916,8359c65d
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,CV,117.47325365735554,117.47325365735554,117.47325365735554,117.47325365735554,117.47325365735554,117.47325365735556,8359c65d
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,CV,125.9711708783584,125.9711708783584,125.9711708783584,125.9711708783584,125.9711708783584,125.97117087835838,8359c65d
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,CV,127.77252864491359,127.77252864491359,127.77252864491359,127.77252864491359,127.77252864491358,127.77252864491359,8359c65d
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,CV,130.59903839765119,130.59903839765119,130.59903839765119,130.59903839765119,130.59903839765119,130.59903839765119,8359c65d
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,TSCV,43.257749281376505,46.76680394313453,37.274892393090404,38.7323896891375,38.80413385618897,40.96719383258558,8359c65d
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,TSCV,172.07033288743762,172.07033288743762,172.07033288743762,172.07033288743762,172.07033288743762,172.07033288743762,8359c65d
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,TSCV,182.1565725962321,182.1565725962321,182.1565725962321,182.1565725962321,182.1565725962321,182.1565725962321,8359c65d
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,TSCV,185.1231873406304,185.1231873406304,185.1231873406304,185.1231873406304,185.1231873406304,185.1231873406304,8359c65d
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,sera,TSCV,181.5350415547689,181.5350415547689,181.5350415547689,181.5350415547689,181.53504155476884,181.5350415547689,8359c65d
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,prediction,0.28748910076257395,0.1684580969798447,0.09685985953505805,0.20539211483614228,0.14655026892242784,0.18094988820720936,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,prediction,0.3551461206276382,0.25690346236821693,0.07180309970084364,0.07072376516223466,0.14509895155312436,0.17993507988241156,ecf2577f
LSTM16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,prediction,0.4304800572956339,0.34091298640985523,0.160911981388128,0.18226045860988316,0.22083206605530548,0.2670795099517611,ecf2577f
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,prediction,0.30021867295758176,0.26402854650865293,0.11500071286143843,0.1146167438942054,0.16871610774433488,0.1925161567932427,ecf2577f
MLP16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,r2,prediction,0.339095810061245,0.29510241403957005,0.16568967986471284,0.18533061183553112,0.18953422079857707,0.23495054731992723,ecf2577f
CXGB15,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,prediction,1.7090440503736415,3.339305970532185,1.5203252233616904,2.1888040731833707,1.597392256388424,2.070974314767862,ecf2577f
RNN16,1,-1.1692892810242344|-0.30647585455315646|4.561547586528888|6.499969486244418,0.3,mape,prediction,1.86559889242139,2.8418968966139433,1.8219212323781007,3.7435966959446314,1.7358435748691199,2.4017714584454373,ecf2577f
