model,Bounds,I_w,season,metric,stage,HWN,HWF,HWD,HWM,HWA,Average,id_data
RNN16,12,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.4464205529182601,0.5918344109315724,0.4042007604779757,0.101720157236176,0.5842147821495929,0.4256781327427154,978f49d7
LSTM16,12,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.6017964461882324,0.6599915052986405,0.7726152717766688,0.8666576405185809,0.834067872388498,0.7470257472341241,978f49d7
CNNRNN16,12,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.138651715255519,0.39270836807688303,0.33371961884754286,0.26296317157277505,0.27170648926937047,0.2799498726044181,978f49d7
MLP16,12,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,r2,prediction,0.14312151950201313,0.09766066505219018,-0.00962654209721836,0.3757304687470254,0.39898963892415107,0.2011751500256323,978f49d7
CXGB15,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.3528367497612,1.088012443043952,1.0349052195882387,3.0899018477373907,1.3422179757724977,1.5815748471806557,978f49d7
RNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.154653796665821,1.382832780482109,0.7786456285439842,2.3262580593828823,0.713892249739391,1.2712565029628375,978f49d7
LSTM16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.1995791906995492,0.7890555651412636,0.6012912744552915,2.3835030426282593,1.457735630774879,1.2862329407398485,978f49d7
CNNRNN16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.044412516681494,0.7944230507814439,0.9196820435483165,1.2317396000667669,2.215166155152594,1.2410846732461231,978f49d7
MLP16,1,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.5485294679304153,1.4283673033599142,0.9448737105594842,2.934447001373699,1.1943644697084197,1.6101163905863864,978f49d7
CXGB15,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.566330044964455,1.4791307382731507,1.0795413794446316,1.015517475466112,1.1326868974340765,1.2546413071164852,978f49d7
RNN16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,0.9845752701270527,0.7493416857844017,0.7905937998914734,0.9224504418219277,1.112072788190257,0.9118067971630225,978f49d7
LSTM16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.1174828765764282,1.078129459991149,1.0444949185767114,1.9303877742333615,1.599912709422317,1.3540815477599932,978f49d7
CNNRNN16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,0.5140669878550448,1.225121782578305,0.7784840021174947,1.3193405143166672,1.2225354532827235,1.0119097480300472,978f49d7
MLP16,2,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,0.7716780714988797,1.0830956026496459,0.5637056996048386,1.4048119547386728,0.9674357827079259,0.9581454222399927,978f49d7
CXGB15,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,2.2996116702942073,1.6946403334774458,3.3452256909394307,8.711663215317708,3.325369722218851,3.8753021264495287,978f49d7
RNN16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,3.232246206259348,1.9921299093741982,4.0714895955270345,7.081708147197665,2.819537125342207,3.8394221967400908,978f49d7
LSTM16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,2.290122053565924,1.9628904592487157,4.060332955593472,8.6623036361662,5.420148818088887,4.47915958453264,978f49d7
CNNRNN16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,2.771532658038645,2.353347546431527,4.122165812204311,16.948351059105885,3.7176138272655876,5.982602180609191,978f49d7
MLP16,3,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.6754480142881647,1.144634358505606,2.9473130841767796,10.239788912116053,3.107371254020747,3.82291112462147,978f49d7
CXGB15,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.6597574961524182,1.395373126447535,1.380415971760177,0.47832900054363325,1.0286220433193871,1.18849952764463,978f49d7
RNN16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.1145932318693572,3.940104323489556,3.080280444038718,1.0743984753116431,0.656839374711242,1.9732431698841029,978f49d7
LSTM16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,2.63036479197704,3.3988468579787026,3.1730714068661228,5.198967409146917,0.8443727434405813,3.049124641881873,978f49d7
CNNRNN16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,3.0540061301220307,5.09631979738756,3.963058246040044,1.873487182453341,1.1978937603685833,3.036953023274312,978f49d7
MLP16,4,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.4019095009371914,0.9059069919175734,1.5895288909587486,2.640040843093847,0.4104412749778244,1.3895655003770369,978f49d7
CXGB15,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.1408768005766878,1.6981940056573024,2.0225431194349097,2.011438081283348,2.559386965361486,1.8864877944627465,978f49d7
RNN16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,3.041091056542986,6.040056922742339,16.92070016628961,16.614109683793114,8.479220375869293,10.21903564104747,978f49d7
LSTM16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.0334027017211287,4.803859433979231,5.652615694239602,3.726545432001205,5.2645785026689635,4.096200352922026,978f49d7
CNNRNN16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,2.3242598092014912,8.34476353404338,2.2010513767166953,10.168301003388851,4.110089277737026,5.429693000217489,978f49d7
MLP16,5,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.385954010408898,2.361387661603192,9.017059621617111,1.250187547690787,1.9079458780633445,3.184506943876667,978f49d7
CXGB15,6,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,1.0010553301747929,1.0792820247446815,1.1719171231309333,1.0514643874590084,1.2262438360697585,1.1059925403158348,978f49d7
RNN16,6,-1.1692892810242344|-0.30647585455315646|3.0|6.499969486244418,0.3,mape,prediction,0.8271869932691963,0.9812895193303548,0.8961522078250905,1.15795494255842,0.9578548932102138,0.964087711238655,978f49d7
